,hsk,hex,hanzi,pinyin,translation
41,1,['0x4f1a'],会,huì,"can, be possible, be able to, will, be likely to, be sure to, to assemble, to meet, to gather, to see, union, group, association, CL:個|个[gè], a moment (Taiwan pr. for this sense is ),"
42,1,"['0x706b', '0x8f66', '0x7ad9']",火车站,huǒ chē zhàn,"train station,"
43,1,['0x51e0'],几,jǐ,"how much, how many, several, a few,"
44,1,['0x5bb6'],家,jiā,"home, family, classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian, CL:個|个[gè],"
45,1,['0x53eb'],叫,jiào,"to shout, to call, to order, to ask, to be called, by (indicates agent in the passive mood),"
46,1,"['0x4eca', '0x5929']",今天,jīn tiān,"today, at the present, now,"
47,1,['0x4e5d'],九,jiǔ,"nine, 9,"
48,1,['0x5f00'],开,kāi,"to open, to start, to turn on, to boil, to write out (a medical prescription), to operate (vehicle), abbr. for 開爾文|开尔文 degrees Kelvin,"
49,1,['0x770b'],看,kàn,"to see, to look at, to read, to watch, to consider, to regard as, to view as, to treat as, to judge, (after repeated verb) to give it a try, depending on (how you're judging), to visit, to call on, to treat (an illness), to look after, Watch out! (for a danger),"
50,1,"['0x770b', '0x89c1']",看见,kàn jiàn,"to see, to catch sight of,"
51,1,['0x5757'],块,kuài,"lump (of earth), chunk, piece, classifier for pieces of cloth, cake, soap etc, colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 塊錢|块钱,"
52,1,['0x6765'],来,lái,"to come, to arrive, to come round, ever since, next,"
53,1,"['0x8001', '0x5e08']",老师,lǎo shī,"teacher, CL:個|个,位[wèi],"
54,1,['0x4e86'],了,le,"(modal particle intensifying preceding clause), (completed action marker),"
55,1,['0x51b7'],冷,lěng,"cold,"
56,1,['0x91cc'],里,lǐ,"li (Chinese mile), 500 meters (modern), home, hometown, village, neighborhood, administrative unit,"
57,1,['0x96f6'],零,líng,"zero, nought, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one), fraction, (in mathematics) remainder (after division), extra, to wither and fall, to wither,"
58,1,['0x516d'],六,liù,"six, 6,"
59,1,"['0x5988', '0x5988']",妈妈,mā ma,"mama, mommy, mother, CL:個|个,位[wèi],"
60,1,['0x5417'],吗,ma,"(question tag),"
61,1,['0x4e70'],买,mǎi,"to buy, to purchase,"
62,1,['0x732b'],猫,māo,"cat, CL:隻|只[zhī],"
63,1,['0x6ca1'],没,méi,"(negative prefix for verbs), have not, not,"
64,1,"['0x6ca1', '0x5173', '0x7cfb']",没关系,méi guān xi,"it doesn't matter,"
65,1,"['0x7c73', '0x996d']",米饭,mǐ fàn,"(cooked) rice,"
66,1,"['0x660e', '0x5929']",明天,míng tiān,"tomorrow,"
67,1,"['0x540d', '0x5b57']",名字,míng zi,"name (of a person or thing), CL:個|个[gè],"
68,1,['0x54ea'],哪,nǎ,"how, which,"
69,1,['0x90a3'],那,nà,"that, those, then (in that case), commonly pr.  before a classifier, esp. in Beijing,"
70,1,['0x5462'],呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""), particle for inquiring about location (""Where is ...?""), particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""), (at the end of a declarative sentence) particle indicating continuation of a state or action, particle indicating strong affirmation,"
71,1,['0x80fd'],能,néng,"to be able to, to be capable of, ability, capability, able, capable, can possibly, (usually used in the negative) to have the possibility of,"
72,1,['0x4f60'],你,nǐ,"you (informal, as opposed to courteous 您),"
73,1,['0x5e74'],年,nián,"year, CL:個|个[gè],"
74,1,"['0x5973', '0x513f']",女儿,nǚ ér,"daughter,"
75,1,"['0x670b', '0x53cb']",朋友,péng you,"friend, CL:個|个,位[wèi],"
76,1,"['0x6f02', '0x4eae']",漂亮,piào liang,"pretty, beautiful,"
77,1,"['0x82f9', '0x679c']",苹果,píng guǒ,"apple, CL:個|个,顆|颗[kē],"
78,1,['0x4e03'],七,qī,"seven, 7,"
79,1,['0x94b1'],钱,qián,"coin, money, CL:筆|笔[bǐ], unit of weight, one tenth of a tael 兩|两[liǎng],"
80,1,"['0x524d', '0x9762']",前面,qián miàn,"ahead, in front, preceding, above,"
81,1,['0x8bf7'],请,qǐng,"to ask, to invite, please (do sth), to treat (to a meal etc), to request,"
82,1,['0x53bb'],去,qù,"to go, to go to (a place), to cause to go or send (sb), to remove, to get rid of, (when used either before or after a verb) to go in order to do sth, to be apart from in space or time, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation), (of a time or an event etc) just passed or elapsed,"
83,1,['0x70ed'],热,rè,"to warm up, to heat up, hot (of weather), heat, fervent,"
84,1,['0x4eba'],人,rén,"man, person, people, CL:個|个,位[wèi],"
85,1,"['0x8ba4', '0x8bc6']",认识,rèn shi,"to know, to recognize, to be familiar with, to get acquainted with sb, knowledge, understanding, awareness, cognition,"
86,1,['0x65e5'],日,rì,"sun, day, date, day of the month, abbr. for 日本 Japan,"
87,1,['0x4e09'],三,sān,"three, 3,"
88,1,"['0x5546', '0x5e97']",商店,shāng diàn,"store, shop, CL:家,個|个[gè],"
89,1,['0x4e0a'],上,shàng,"on top, upon, above, upper, previous, first (of multiple parts), to climb, to get onto, to go up, to attend (class or university),"
90,1,"['0x4e0a', '0x5348']",上午,shàng wǔ,"morning, CL:個|个[gè],"
91,1,['0x5c11'],少,shǎo,"few, little, lack,"
92,1,['0x8c01'],谁,shéi,"who, also pr. [shuí],"
93,1,"['0x4ec0', '0x4e48']",什么,shén me,"what?, who?, something, anything,"
94,1,['0x5341'],十,shí,"ten, 10,"
95,1,"['0x65f6', '0x5019']",时候,shí hou,"time, length of time, moment, period,"
96,1,['0x662f'],是,shì,"is, are, am, yes, to be,"
97,1,['0x4e66'],书,shū,"book, letter, CL:本,冊|册,部[bù], see also 書經|书经 Book of History,"
98,1,['0x6c34'],水,shuǐ,"water, river, liquid, beverage, additional charges or income, (of clothes) classifier for number of washes,"
99,1,"['0x6c34', '0x679c']",水果,shuǐ guǒ,"fruit, CL:個|个[gè],"
100,1,"['0x7761', '0x89c9']",睡觉,shuì jiào,"to go to bed, to sleep,"
101,1,"['0x8bf4', '0x8bdd']",说话,shuō huà,"to speak, to say, to talk, to gossip, to tell stories, talk, word,"
102,1,['0x56db'],四,sì,"four, 4,"
103,1,['0x5c81'],岁,suì,"classifier for years (of age), year, year (of crop harvests),"
104,1,['0x4ed6'],他,tā,"he or him, (used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object), other, another,"
105,1,['0x5979'],她,tā,"she,"
106,1,['0x592a'],太,tài,"highest, greatest, too (much), very, extremely,"
107,1,"['0x5929', '0x6c14']",天气,tiān qì,"weather,"
108,1,['0x542c'],听,tīng,"to listen, to hear, to obey, a can (loanword from English ""tin""), classifier for canned beverages,"
109,1,"['0x540c', '0x5b66']",同学,tóng xué,"to study at the same school, fellow student, classmate, CL:位,個|个[gè],"
110,1,['0x5582'],喂,wèi,"to feed,"
111,1,['0x6211'],我,wǒ,"I, me, my,"
112,1,"['0x6211', '0x4eec']",我们,wǒ men,"we, us, ourselves, our,"
113,1,['0x4e94'],五,wǔ,"five, 5,"
114,1,"['0x559c', '0x6b22']",喜欢,xǐ huan,"to like, to be fond of,"
115,1,['0x4e0b'],下,xià,"down, downwards, below, lower, later, next (week etc), second (of two parts), to decline, to go down,"
116,1,"['0x4e0b', '0x5348']",下午,xià wǔ,"afternoon, CL:個|个[gè], p.m.,"
117,1,"['0x4e0b', '0x96e8']",下雨,xià yǔ,"to rain, rainy,"
118,1,"['0x5148', '0x751f']",先生,xiān sheng,"teacher, husband, doctor (topolect), CL:位[wèi],"
119,1,"['0x73b0', '0x5728']",现在,xiàn zài,"now, at present, at the moment, modern, current, nowadays,"
120,1,['0x60f3'],想,xiǎng,"to think, to believe, to suppose, to wish, to want, to miss,"
121,1,['0x5c0f'],小,xiǎo,"small, tiny, few, young,"
122,1,"['0x5c0f', '0x59d0']",小姐,xiǎo jie,"young lady, miss, (slang) prostitute, CL:個|个,位[wèi],"
123,1,['0x4e9b'],些,xiē,"some, few, several, measure word indicating a small amount or small number (greater than 1),"
124,1,['0x5199'],写,xiě,"to write,"
125,1,"['0x8c22', '0x8c22']",谢谢,xiè xie,"to thank, thanks,"
126,1,"['0x661f', '0x671f']",星期,xīng qī,"week, CL:個|个[gè], day of the week, Sunday,"
127,1,"['0x5b66', '0x751f']",学生,xué sheng,"student, schoolchild,"
128,1,"['0x5b66', '0x4e60']",学习,xué xí,"to learn, to study,"
129,1,"['0x5b66', '0x6821']",学校,xué xiào,"school, CL:所[suǒ],"
130,1,['0x4e00'],一,yī,"one, 1, single, a (article), as soon as, entire, whole, all, throughout, ""one"" radical in Chinese characters (Kangxi radical 1),"
131,1,"['0x8863', '0x670d']",衣服,yī fu,"clothes, CL:件,套[tào],"
132,1,"['0x533b', '0x751f']",医生,yī shēng,"doctor, CL:個|个,位,名[míng],"
133,1,"['0x533b', '0x9662']",医院,yī yuàn,"hospital, CL:所,家,座[zuò],"
134,1,"['0x6905', '0x5b50']",椅子,yǐ zi,"chair, CL:把,套[tào],"
135,1,['0x6709'],有,yǒu,"to have, there is, there are, to exist, to be,"
136,1,['0x6708'],月,yuè,"moon, month, CL:個|个,輪|轮[lún],"
137,1,['0x5728'],在,zài,"(located) at, (to be) in, to exist, in the middle of doing sth, (indicating an action in progress),"
138,1,"['0x518d', '0x89c1']",再见,zài jiàn,"goodbye, see you again later,"
139,1,"['0x600e', '0x4e48']",怎么,zěn me,"variant of 怎麼|怎么[zěn me],"
140,1,"['0x600e', '0x4e48', '0x6837']",怎么样,zěn me yàng,"how?, how about?, how was it?, how are things?,"
141,1,['0x8fd9'],这,zhè,"this, these, (commonly pr.  before a classifier, esp. in Beijing),"
142,1,"['0x4e2d', '0x56fd']",中国,Zhōng guó,"China, Middle Kingdom,"
143,1,"['0x4e2d', '0x5348']",中午,zhōng wǔ,"noon, midday, CL:個|个[gè],"
144,1,['0x4f4f'],住,zhù,"to live, to dwell, to stay, to reside, to stop, (suffix indicating firmness, steadiness, or coming to a halt),"
145,1,"['0x684c', '0x5b50']",桌子,zhuō zi,"table, desk, CL:張|张,套[tào],"
146,1,['0x5b57'],字,zì,"letter, symbol, character, word, CL:個|个[gè], courtesy or style name traditionally given to males aged 20 in dynastic China,"
147,1,"['0x6628', '0x5929']",昨天,zuó tiān,"yesterday,"
148,1,['0x5750'],坐,zuò,"to sit, to take a seat, to take (a bus, airplane etc), to bear fruit, variant of 座[zuò],"
149,1,['0x505a'],做,zuò,"to do, to make, to produce, to write, to compose, to act as, to engage in, to hold (a party), to be, to become, to function (in some capacity), to serve as, to be used for, to form (a bond or relationship), to pretend, to feign, to act a part, to put on appearance,"
150,2,['0x5427'],吧,ba,"(modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume.,"
151,2,['0x767d'],白,bái,"white, snowy, pure, bright, empty, blank, plain, clear, to make clear, in vain, gratuitous, free of charge, reactionary, anti-communist, funeral, to stare coldly, to write wrong character, to state, to explain, vernacular, spoken lines in opera,"
152,2,['0x767e'],百,bǎi,"hundred, numerous, all kinds of,"
153,2,"['0x5e2e', '0x52a9']",帮助,bāng zhù,"assistance, aid, to help, to assist,"
154,2,"['0x62a5', '0x7eb8']",报纸,bào zhǐ,"newspaper, newsprint, CL:份,期,張|张[zhāng],"
155,2,['0x6bd4'],比,bǐ,"(particle used for comparison and ""-er than""), to compare, to contrast, to gesture (with hands), ratio,"
156,2,['0x522b'],别,bié,"to leave, to depart, to separate, to distinguish, to classify, other, another, do not, must not, to pin,"
157,2,['0x957f'],长,cháng,"length, long, forever, always, constantly,"
158,2,"['0x5531', '0x6b4c']",唱歌,chàng gē,"to sing a song,"
159,2,['0x51fa'],出,chū,"to go out, to come out, to occur, to produce, to go beyond, to rise, to put forth, to happen, classifier for dramas, plays, operas etc,"
160,2,['0x7a7f'],穿,chuān,"to bore through, to pierce, to perforate, to penetrate, to pass through, to dress, to wear, to put on, to thread,"
161,2,['0x8239'],船,chuán,"a boat, vessel, ship, CL:條|条,艘,隻|只[zhī],"
162,2,['0x6b21'],次,cì,"next in sequence, second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time,"
163,2,['0x4ece'],从,cóng,"from, via, passing through, through (a gap), past, ever (followed by negative, meaning never), (formerly pr.  and related to 縱|纵) to follow, to comply with, to obey, to join, to engage in, adopting some mode of action or attitude, follower, retainer, accessory, accomplice, related by common paternal grandfather or earlier ancestor,"
164,2,['0x9519'],错,cuò,"mistake, wrong, bad, interlocking, complex, to grind, to polish, to alternate, to stagger, to miss, to let slip, to evade, to inlay with gold or silver,"
165,2,"['0x6253', '0x7bee', '0x7403']",打篮球,dá lán qiú,"Play basketball,"
166,2,"['0x5927', '0x5bb6']",大家,dà jiā,"everyone, influential family, great expert,"
167,2,"['0x4f46', '0x662f']",但是,dàn shì,"but, however,"
168,2,['0x5230'],到,dào,"to (a place), until (a time), up to, to go, to arrive,"
169,2,['0x5f97'],得,de,"structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc,"
170,2,['0x5f97'],得,děi,"to have to, must, ought to, to need to,"
171,2,"['0x5f1f', '0x5f1f']",弟弟,dì di,"younger brother, CL:個|个,位[wèi],"
172,2,"['0x7b2c', '0x4e00']",第一,dì yī,"first, number one,"
173,2,['0x61c2'],懂,dǒng,"to understand, to know,"
174,2,"['0x623f', '0x95f4']",房间,fáng jiān,"room, CL:間|间[jiān],"
175,2,"['0x975e', '0x5e38']",非常,fēi cháng,"unusual, extraordinary, extreme, very, exceptional,"
176,2,"['0x670d', '0x52a1', '0x5458']",服务员,fú wù yuán,"waiter, waitress, attendant, customer service personnel, CL:個|个[gè],"
177,2,['0x9ad8'],高,gāo,"high, tall, above average, loud, your (honorific),"
178,2,"['0x544a', '0x8bc9']",告诉,gào su,"to tell, to inform, to let know,"
179,2,"['0x54e5', '0x54e5']",哥哥,gē ge,"older brother, CL:個|个,位[wèi],"
180,2,['0x7ed9'],给,gěi,"to, for, for the benefit of, to give, to allow, to do sth (for sb), (passive particle),"
181,2,"['0x516c', '0x5171', '0x6c7d', '0x8f66']",公共汽车,gōng gòng qì chē,"bus, CL:輛|辆,班[bān],"
182,2,"['0x516c', '0x65a4']",公斤,gōng jīn,"kilogram (kg),"
183,2,"['0x516c', '0x53f8']",公司,gōng sī,"(business) company, company, firm, corporation, incorporated, CL:家[jiā],"
184,2,['0x8d35'],贵,guì,"expensive, noble, your (name), precious,"
185,2,['0x8fd8'],还,hái,"still, still in progress, still more, yet, even more, in addition, fairly, passably (good), as early as, even, also, else,"
186,2,"['0x5b69', '0x5b50']",孩子,hái zi,"child,"
187,2,"['0x597d', '0x5403']",好吃,hǎo chī,"tasty, delicious,"
188,2,['0x53f7'],号,hào,"ordinal number, day of a month, mark, sign, business establishment, size, ship suffix, horn (wind instrument), bugle call, assumed name, to take a pulse, classifier used to indicate number of people,"
189,2,['0x9ed1'],黑,hēi,"black, dark, (loanword) to hack,"
190,2,['0x7ea2'],红,hóng,"red, popular, revolutionary, bonus,"
191,2,"['0x6b22', '0x8fce']",欢迎,huān yíng,"to welcome, welcome,"
192,2,['0x8fd8'],还,huán,"to pay back, to return,"
193,2,"['0x56de', '0x7b54']",回答,huí dá,"to reply, to answer, the answer, CL:個|个[gè],"
194,2,"['0x673a', '0x573a']",机场,jī chǎng,"airport, airfield, CL:家,處|处[chù],"
195,2,"['0x9e21', '0x86cb']",鸡蛋,jī dàn,"(chicken) egg, hen's egg, CL:個|个,打[dá],"
196,2,['0x4ef6'],件,jiàn,"item, component, classifier for events, things, clothes etc,"
197,2,"['0x6559', '0x5ba4']",教室,jiào shì,"classroom, CL:間|间[jiān],"
198,2,"['0x59d0', '0x59d0']",姐姐,jiě jie,"older sister, CL:個|个[gè],"
199,2,"['0x4ecb', '0x7ecd']",介绍,jiè shào,"to introduce (sb to sb), to give a presentation, to present (sb for a job etc), introduction,"
200,2,['0x8fdb'],进,jìn,"to advance, to enter, to come (or go) into, to receive or admit, to eat or drink, to submit or present, (used after a verb) into, in, to score a goal,"
201,2,['0x8fd1'],近,jìn,"near, close to, approximately,"
202,2,['0x5c31'],就,jiù,"at once, right away, only, just (emphasis), as early as, already, as soon as, then, in that case, as many as, even if, to approach, to move towards, to undertake, to engage in, to suffer, subjected to, to accomplish, to take advantage of, to go with (of foods), with regard to, concerning,"
203,2,"['0x89c9', '0x5f97']",觉得,jué de,"to think, to feel,"
204,2,"['0x5496', '0x5561']",咖啡,kā fēi,"coffee, CL:杯[bēi],"
205,2,"['0x5f00', '0x59cb']",开始,kāi shǐ,"to begin, beginning, to start, initial, CL:個|个[gè],"
206,2,"['0x8003', '0x8bd5']",考试,kǎo shì,"to take an exam, exam, CL:次[cì],"
207,2,"['0x53ef', '0x80fd']",可能,kě néng,"might (happen), possible, probable, possibility, probability, maybe, perhaps, CL:個|个[gè],"
208,2,"['0x53ef', '0x4ee5']",可以,kě yǐ,"can, may, possible, able to,"
209,2,['0x8bfe'],课,kè,"subject, course, CL: 門|门[mén], class, lesson, CL:堂,節|节[jié], to levy, tax, form of divination,"
210,2,['0x5feb'],快,kuài,"rapid, quick, speed, rate, soon, almost, to make haste, clever, sharp (of knives or wits), forthright, plain-spoken, gratified, pleased, pleasant,"
211,2,"['0x5feb', '0x4e50']",快乐,kuài lè,"happy, merry,"
212,2,['0x7d2f'],累,lèi,"tired, weary, to strain, to wear out, to work hard,"
213,2,['0x79bb'],离,lí,"to leave, to part from, to be away from, (in giving distances) from, without (sth), independent of, one of the Eight Trigrams 八卦, symbolizing fire, ☲,"
214,2,['0x4e24'],两,liǎng,"both, two, ounce, some, a few, tael, weight equal to 50 grams,"
215,2,['0x8def'],路,lù,"road, CL:條|条[tiáo], journey, route, line (bus etc), sort, kind,"
216,2,"['0x65c5', '0x6e38']",旅游,lǚ yóu,"trip, journey, tourism, travel, tour,"
217,2,['0x5356'],卖,mài,"to sell, to betray, to spare no effort, to show off or flaunt,"
218,2,['0x6162'],慢,màn,"slow,"
219,2,['0x5fd9'],忙,máng,"busy, hurriedly, to hurry, to rush,"
220,2,['0x6bcf'],每,měi,"each, every,"
221,2,"['0x59b9', '0x59b9']",妹妹,mèi mei,"younger sister, fig. younger woman (esp. girl friend or rival), CL:個|个[gè],"
222,2,['0x95e8'],门,mén,"gate, door, CL:扇[shàn], gateway, doorway, CL:個|个[gè], opening, valve, switch, way to do something, knack, family, house, (religious) sect, school (of thought), class, category, phylum or division (taxonomy), classifier for large guns, classifier for lessons, subjects, branches of technology,"
223,2,"['0x7537', '0x4eba']",男人,nán rén,"a man, a male, men, CL:個|个[gè],"
224,2,['0x60a8'],您,nín,"you (courteous, as opposed to informal 你),"
225,2,"['0x725b', '0x5976']",牛奶,niú nǎi,"cow's milk, CL:瓶,杯[bēi],"
226,2,"['0x5973', '0x4eba']",女人,nǚ rén,"woman,"
227,2,"['0x65c1', '0x8fb9']",旁边,páng biān,"lateral, side, to the side, beside,"
228,2,"['0x8dd1', '0x6b65']",跑步,pǎo bù,"to walk quickly, to march, to run,"
229,2,"['0x4fbf', '0x5b9c']",便宜,pián yi,"small advantages, to let sb off lightly, cheap, inexpensive,"
230,2,['0x7968'],票,piào,"ticket, ballot, bank note, CL:張|张[zhāng], person held for ransom, amateur performance of Chinese opera, classifier for shipments and business transactions (topolect),"
231,2,"['0x59bb', '0x5b50']",妻子,qī zi,"wife, CL:個|个[gè],"
232,2,"['0x8d77', '0x5e8a']",起床,qǐ chuáng,"to get out of bed, to get up,"
233,2,['0x5343'],千,qiān,"a swing,"
234,2,['0x6674'],晴,qíng,"clear, fine (weather),"
235,2,"['0x53bb', '0x5e74']",去年,qù nián,"last year,"
236,2,['0x8ba9'],让,ràng,"to yield, to permit, to let sb do sth, to have sb do sth,"
237,2,"['0x4e0a', '0x73ed']",上班,shàng bān,"to go to work, to be on duty, to start work, to go to the office,"
238,2,"['0x8eab', '0x4f53']",身体,shēn tǐ,"(human) body, health, CL:個|个[gè],"
239,2,"['0x751f', '0x75c5']",生病,shēng bìng,"to fall ill,"
240,2,"['0x751f', '0x65e5']",生日,shēng rì,"birthday, CL:個|个[gè],"
241,2,"['0x65f6', '0x95f4']",时间,shí jiān,"time, period, CL:段[duàn],"
242,2,"['0x4e8b', '0x60c5']",事情,shì qing,"affair, matter, thing, business, CL:件,樁|桩[zhuāng],"
243,2,"['0x624b', '0x8868']",手表,shǒu biǎo,"wrist watch, CL:塊|块,隻|只,個|个[gè],"
244,2,"['0x624b', '0x673a']",手机,shǒu jī,"cell phone, mobile phone, CL:部,支[zhī],"
245,2,['0x9001'],送,sòng,"to deliver, to carry, to give (as a present), to present (with), to see off, to send,"
246,2,"['0x6240', '0x4ee5']",所以,suǒ yǐ,"therefore, as a result, so,"
247,2,['0x5b83'],它,tā,"it,"
248,2,['0x8e22'],踢,tī,"to kick, to play (e.g. soccer),"
249,2,['0x9898'],题,tí,"topic, problem for discussion, exam question, subject, to inscribe, to mention, CL:個|个,道[dào],"
250,2,"['0x8df3', '0x821e']",跳舞,tiào wǔ,"to dance,"
251,2,['0x5916'],外,wài,"outside, in addition, foreign, external,"
252,2,['0x5b8c'],完,wán,"to finish, to be over, whole, complete, entire,"
253,2,['0x73a9'],玩,wán,"toy, sth used for amusement, curio or antique (Taiwan pr. ), to play, to have fun, to trifle with, to keep sth for entertainment,"
254,2,"['0x665a', '0x4e0a']",晚上,wǎn shang,"evening, night, CL:個|个[gè], in the evening,"
255,2,['0x4e3a'],为,wèi,"variant of 為|为, because of, for, to,"
256,2,['0x95ee'],问,wèn,"to ask,"
257,2,"['0x95ee', '0x9898']",问题,wèn tí,"question, problem, issue, topic, CL:個|个[gè],"
258,2,"['0x897f', '0x74dc']",西瓜,xī guā,"watermelon, CL:條|条[tiáo],"
259,2,"['0x5e0c', '0x671b']",希望,xī wàng,"to wish for, to desire, hope CL:個|个[gè],"
260,2,['0x6d17'],洗,xǐ,"to wash, to bathe, to develop (photo),"
261,2,['0x5411'],向,xiàng,"towards, to face, to turn towards, direction, to support, to side with, shortly before, formerly, always, all along,"
262,2,"['0x5c0f', '0x65f6']",小时,xiǎo shí,"hour, CL:個|个[gè],"
263,2,['0x7b11'],笑,xiào,"laugh, smile, CL:個|个[gè],"
264,2,['0x65b0'],新,xīn,"new, newly, meso- (chemistry),"
265,2,['0x59d3'],姓,xìng,"family name, surname, name, CL:個|个[gè],"
266,2,"['0x4f11', '0x606f']",休息,xiū xi,"rest, to rest,"
267,2,['0x96ea'],雪,xuě,"snow, snowfall, CL:場|场[cháng], to have the appearance of snow, to wipe away, off or out, to clean,"
268,2,"['0x989c', '0x8272']",颜色,yán sè,"color, CL:個|个[gè],"
269,2,"['0x773c', '0x775b']",眼睛,yǎn jing,"eye, CL:隻|只,雙|双[shuāng],"
270,2,"['0x7f8a', '0x8089']",羊肉,yáng ròu,"mutton,"
271,2,['0x836f'],药,yào,"medicine, drug, cure, CL:種|种,服[fù],"
272,2,['0x8981'],要,yào,"important, vital, to want, will, going to (as future auxiliary), may, must, (used in a comparison) must be, probably,"
273,2,['0x4e5f'],也,yě,"also, too, (in Classical Chinese) final particle implying affirmation,"
274,2,"['0x5df2', '0x7ecf']",已经,yǐ jīng,"already,"
